15:18:38.400 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:39.602 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:40.875 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:42.147 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:43.370 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:44.604 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:45.942 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:47.203 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:48.424 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:49.674 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:51.036 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:52.365 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:53.648 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:54.887 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:56.135 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:57.334 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:58.666 INFO || [ READ SC3 | D10-1010110000001100 | D11-0000100000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0009 | D16-0009 | D17-0000 | D18-0000 | D19-0000 | D20-0000 | D21-0000 ]
15:18:58.746 INFO || [ COMD SC3 | Begining Proc Step[1]| SCIO INSERT Success  | ORD_IDX- 1438 | ORD_DATE- 20160623 | ORD_TIME- 151747 ]
15:18:58.804 INFO || [ COMD SC3 | PLC Send Comd Type[1]| SCORD INSERT Success | ORD_IDX- 1438 | ORD_D0- 0001 | ORD_D1- 0002 | ORD_D2- 0000 | ORD_D3- 0002 | ORD_D4- 0001 | ORD_D5- 0021 | ORD_D6- 0003 | ORD_D7- 0000 | ORD_D8- 0000 | ORD_D9- 0000 ]
15:18:59.948 INFO || [ READ SC3 | D10-0000010000001100 | D11-1000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:01.238 INFO || [ READ SC3 | D10-0000010000001100 | D11-1000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:02.532 INFO || [ READ SC3 | D10-0000010000001100 | D11-1000100000000000 | D12-0000 | D13-0006 | D14-0003 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:03.764 INFO || [ READ SC3 | D10-0000010000001100 | D11-1000100000000000 | D12-0000 | D13-0004 | D14-0003 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:05.090 INFO || [ READ SC3 | D10-0000010000001100 | D11-1000000000000000 | D12-0000 | D13-0003 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:06.351 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0003 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:07.580 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000100000000000 | D12-0000 | D13-0003 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:08.863 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0003 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:10.092 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0003 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:11.372 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0003 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:12.647 INFO || [ READ SC3 | D10-0010110000001100 | D11-1000100000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:13.868 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000100000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:15.152 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:16.410 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000100000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:17.613 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000100000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:18.902 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:20.181 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:21.388 INFO || [ READ SC3 | D10-0010110000001100 | D11-1000100000000000 | D12-0000 | D13-0002 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:22.713 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0001 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:23.993 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0001 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:25.233 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0001 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:26.460 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000100000000000 | D12-0000 | D13-0001 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:27.719 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000100000000000 | D12-0000 | D13-0001 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
15:19:28.991 INFO || [ READ SC3 | D10-0000110000001100 | D11-1000000000000000 | D12-0000 | D13-0001 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0021 | D21-0003 ]
